Name	Reel	Media Start	Media End	Tracks	Comment 1	Log Note
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_62_MOV	VTZT10_029	01:03:03:21	01:03:08:24	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_65_MOV	VTZT10_029	01:03:08:24	01:03:18:07	1V,4A		
GRAFENEGG_AUDITORIUM_AUSSEN_12_MOV	VTZT10_029	01:03:18:07	01:03:23:19	1V,4A		
GRAFENEGG_AUDITORIUM_AUSSEN_14_MOV	VTZT10_029	01:03:23:19	01:03:38:22	1V,4A		
TEXT	Tape_001	01:03:38:22	01:03:42:18	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_44_MOV	VTZT10_028	01:03:42:18	01:03:50:03	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_47_MOV	VTZT10_028	01:03:50:03	01:03:56:07	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_03_MOV	VTZT10_027	01:03:56:07	01:04:02:16	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_21_MOV	VTZT10_027	01:04:02:16	01:04:06:24	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_19_MOV	VTZT10_027	01:04:06:24	01:04:10:21	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_18_MOV	VTZT10_027	01:04:10:21	01:04:15:07	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_53_MOV	VTZT10_028	01:04:15:07	01:04:21:08	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_65_MOV	VTZT10_028	01:04:21:08	01:04:25:05	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_GAESTE_07_MOV	VTZT10_028	01:04:25:05	01:04:28:20	1V,4A		
GRAFENEGG_PARK_LH_PROELL_04_MOV	Tape_001	01:04:28:20	01:04:34:14	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_GAESTE_08_MOV	VTZT10_028	01:04:34:14	01:04:37:22	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_GAESTE_05_MOV	VTZT10_028	01:04:37:22	01:04:42:12	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_GAESTE_02_MOV	VTZT10_027	01:04:42:12	01:04:46:16	1V,4A		
GRAFENEGG_PARK_MENSCHEN_37_MOV	Tape_001	01:04:46:16	01:04:50:13	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_GAESTE_10_MOV	VTZT10_028	01:04:50:13	01:04:54:04	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_GAESTE_13_MOV	VTZT10_028	01:04:54:04	01:05:02:04	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_08_MOV	VTZT10_028	01:05:02:04	01:05:08:14	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_04_MOV	VTZT10_027	01:05:08:14	01:05:13:00	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_08_MOV	VTZT10_028	01:05:08:14	01:05:13:00	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_03_MOV	VTZT10_027	01:05:13:00	01:05:23:07	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_32_MOV	VTZT10_029	01:05:23:07	01:05:26:18	1V,4A		
unknown	Tape_001	01:05:23:07	01:05:31:00	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_06_MOV	VTZT10_028	01:05:26:18	01:05:31:00	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_42_MOV	VTZT10_029	01:05:31:00	01:05:39:04	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_GAESTE_15_MOV	VTZT10_029	01:05:39:04	01:05:44:04	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_GAESTE_20_MOV	VTZT10_029	01:05:44:04	01:05:48:03	1V,4A		
FX_SHOTS_MOV	VTZT10_048	01:05:48:03	01:06:49:12	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_44_MOV	VTZT10_029	01:06:49:12	01:06:52:09	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_59_MOV	VTZT10_029	01:06:52:09	01:06:56:08	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_58_MOV	VTZT10_029	01:06:52:09	01:07:08:09	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_58_MOV	VTZT10_029	01:06:56:08	01:07:04:01	1V,4A		
GRAFENEGG_SCHLOSS_AUSSEN_02_MOV	VTZT10_029	01:07:04:01	01:07:06:03	1V,4A		
GRAFENEGG_SCHLOSS_AUSSEN_08_MOV	VTZT10_029	01:07:06:03	01:07:08:09	1V,4A		
GRAFENEGG_SCHLOSS_AUSSEN_10_MOV	VTZT10_029	01:07:08:09	01:07:11:00	1V,4A		
unknown	Tape_001	01:07:08:09	01:07:13:15	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_70_MOV	Tape_001	01:07:11:00	01:07:13:15	1V,4A		
GRAFENEGG_WOLKENTURM_AUSSEN_KONZERT_71_MOV	VTZT10_029	01:07:13:15	01:07:22:13	1V,4A		
TEXT	Tape_001	01:07:22:13	01:07:26:09	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_AUSSEN_EINGANGSBEREICH_15_MOV	Tape_001	01:07:26:09	01:07:32:11	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_AUSSEN_EINGANGSBEREICH_25_MOV	Tape_001	01:07:32:11	01:07:39:15	1V,4A		
unknown	Tape_001	01:07:39:15	01:07:41:24	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_GANG_EINGANGSBEREICH_14_MOV	Tape_001	01:07:39:15	01:07:39:15	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_GANG_EINGANGSBEREICH_02_MOV	VTZT10_004	01:07:41:24	01:07:51:21	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_38_MOV	VTZT10_004	01:07:51:21	01:07:53:16	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_31_MOV	VTZT10_004	01:07:53:16	01:07:54:21	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_29_MOV	VTZT10_004	01:07:54:21	01:07:57:19	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_29_MOV	VTZT10_004	01:07:57:19	01:07:58:08	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_33_MOV	VTZT10_004	01:07:58:08	01:08:01:06	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_28_MOV	VTZT10_004	01:08:01:06	01:08:04:00	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_04_MOV	VTZT10_004	01:08:04:00	01:08:21:09	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_05_MOV	VTZT10_004	01:08:21:09	01:08:24:22	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_AUSSEN_VORPLATZ_PUBLIKUM_02_M	Tape_001	01:08:24:22	01:08:28:06	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_GANG_EINGANGSBEREICH_12_MOV	VTZT10_004	01:08:28:06	01:08:31:03	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_AUSSEN_VORPLATZ_PUBLIKUM_07_M	Tape_001	01:08:31:03	01:08:34:05	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_42_MOV	VTZT10_005	01:08:34:05	01:08:37:09	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_AUSSEN_VORPLATZ_PUBLIKUM_09_M	Tape_001	01:08:37:09	01:08:40:18	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_05_MOV	VTZT10_005	01:08:40:18	01:08:44:13	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_16_MOV	VTZT10_005	01:08:44:13	01:08:51:05	1V,4A		
unknown	Tape_001	01:08:44:13	01:08:50:24	1V,4A		
unknown	Tape_001	01:08:50:24	01:08:58:10	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_17_MOV	Tape_001	01:08:51:05	01:08:56:12	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_06_MOV	VTZT10_005	01:08:56:12	01:08:58:22	1V,4A		
unknown	Tape_001	01:08:58:10	01:08:58:10	1V,4A		
unknown	Tape_001	01:08:58:10	01:09:09:01	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_11_MOV	Tape_001	01:08:58:22	01:09:04:06	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_08_MOV	VTZT10_005	01:09:04:06	01:09:07:02	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_13_MOV	VTZT10_005	01:09:07:02	01:09:12:13	1V,4A		
unknown	Tape_001	01:09:09:01	01:09:09:01	1V,4A		
unknown	Tape_001	01:09:09:01	01:09:12:13	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_14_MOV	VTZT10_005	01:09:12:13	01:09:16:10	1V,4A		
unknown	Tape_001	01:09:12:13	01:09:15:10	1V,4A		
unknown	Tape_001	01:09:15:10	01:09:18:04	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_36_MOV	VTZT10_005	01:09:16:10	01:09:18:16	1V,4A		
unknown	Tape_001	01:09:18:04	01:09:18:04	1V,4A		
unknown	Tape_001	01:09:18:04	01:09:33:10	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_35_MOV	VTZT10_005	01:09:18:16	01:09:26:16	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_28_MOV	VTZT10_005	01:09:26:16	01:09:33:22	1V,4A		
unknown	Tape_001	01:09:33:10	01:09:33:10	1V,4A		
unknown	Tape_001	01:09:33:10	01:09:44:01	1V,4A		
GUNTERSDORF_THEATER_IM_STADL_INNEN_AUFFULKHRUNG_43_MOV	VTZT10_005	01:09:33:22	01:09:44:01	1V,4A		
TEXT	Tape_001	01:09:44:01	01:09:47:22	1V,4A		
FX_SHOTS_MOV	VTZT10_048	01:09:47:22	01:09:51:10	1V,4A		
FX_SHOTS_MOV	VTZT10_048	01:09:51:10	01:09:53:21	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_38_MOV	VTZT10_039	01:09:53:21	01:10:02:16	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_42_MOV	VTZT10_039	01:10:02:16	01:10:09:09	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_130_MOV	VTZT10_041	01:10:09:09	01:10:21:06	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_133_MOV	VTZT10_041	01:10:21:06	01:10:28:11	1V,4A		
